feature_name,true_mean,false_mean,delta,abs_delta,true_std,false_std,single_feature_auroc
L13_H11_attention_entropy_last,-0.07109691198834561,0.06922594062023182,-0.14032285260857744,0.14032285260857744,0.4755595931835957,0.4327072305814493,0.4167296408250356
L16_H03_attention_entropy_last,-0.052044352598070456,0.050674764371805646,-0.1027191169698761,0.1027191169698761,0.4026377350089558,0.3451253565428754,0.4288095661450925
L17_H05_attention_entropy_last,0.048465663416763526,-0.04719025122158562,0.09565591463834915,0.09565591463834915,0.24029755927635968,0.3227672917632794,0.5811922119487909
L15_H02_attention_entropy_last,-0.04740502619102576,0.04615752550178755,-0.0935625516928133,0.0935625516928133,0.3969934012945432,0.43876609116384385,0.4301209103840683
L14_H08_attention_entropy_last,-0.04665837837639469,0.0454305263138579,-0.09208890469025258,0.09208890469025258,0.23099481818016954,0.28029565529784384,0.3985486308677098
L13_H09_attention_entropy_last,-0.04413482491135714,0.04297338215053239,-0.08710820706188953,0.08710820706188953,0.37357627680942085,0.33892376661268325,0.429054054054054
L15_H09_attention_entropy_last,-0.04154070232010412,0.04044752594325933,-0.08198822826336345,0.08198822826336345,0.43723181367811687,0.45153582444556056,0.4303876244665718
L20_H07_attention_entropy_last,-0.0389895987818384,0.03796355670863158,-0.07695315549046998,0.07695315549046998,0.5064229361050809,0.49562364124490305,0.4572701813655761
L19_H01_attention_entropy_last,-0.03772739793995977,0.0367345716783818,-0.07446196961834158,0.07446196961834158,0.38057995328121447,0.37872039139973646,0.4424786628733997
L14_H10_attention_entropy_last,0.03663192159363992,-0.03566792365696543,0.07229984525060534,0.07229984525060534,0.378429880099466,0.31563997020084233,0.5462971194879089
L20_H09_attention_entropy_last,0.035565432142352055,-0.03462949971755439,0.07019493185990644,0.07019493185990644,0.2957057125988503,0.3471393914325212,0.5577658250355619
L13_H10_attention_entropy_last,0.032646970021232666,-0.0317878392312006,0.06443480925243326,0.06443480925243326,0.39664078615059134,0.31709255063342484,0.5361286450924609
L16_H06_attention_entropy_last,0.03171230596661407,-0.030877771599072294,0.06259007756568637,0.06259007756568637,0.285177396199556,0.3224799775409287,0.567300853485064
L15_H06_last_to_tail_mass,-0.03153912831368514,0.030709151252798793,-0.06224827956648393,0.06224827956648393,0.21754694188099716,0.2236501584169743,0.39715949502133713
L17_H02_last_to_tail_mass,-0.03117787149854088,0.030357401195947608,-0.06153527269448849,0.06153527269448849,0.18388838314173858,0.18915192343308954,0.40307165718349935
L15_H05_attention_entropy_last,-0.030218974330733096,0.0294237381641341,-0.059642712494867196,0.059642712494867196,0.3500343238419049,0.35954755305294467,0.44120065789473684
L15_H10_attention_entropy_last,-0.030176929419017284,0.029382799697463696,-0.05955972911648098,0.05955972911648098,0.29398518233615867,0.31318268142930933,0.4463682432432433
L13_H05_attention_entropy_last,-0.029903505376491526,0.029116571024478646,-0.05902007640097017,0.05902007640097017,0.30809427280460877,0.31953140688660575,0.4366665184921763
L15_H09_last_to_tail_mass,-0.02969594737305353,0.02891447507376254,-0.058610422446816066,0.058610422446816066,0.17205300594112066,0.19335669999469937,0.40423853129445236
L15_H06_attention_entropy_last,0.029155023275443805,-0.028387785820826683,0.05754280909627049,0.05754280909627049,0.35830619510218237,0.3984482092153819,0.5560988620199147
L15_H09_last_to_subject_mass,0.028766301084072025,-0.02800929316080671,0.056775594244878734,0.056775594244878734,0.17990289871035123,0.19271514619525257,0.5941611842105263
L15_H06_last_to_subject_mass,0.028121520651765618,-0.02738148063461403,0.05550300128637965,0.05550300128637965,0.18174765706926024,0.174212544943335,0.6113642425320057
L17_H05_max_attention_last,-0.02798211031459718,0.02724573899052888,-0.05522784930512606,0.05522784930512606,0.11497739045331608,0.1387310981293201,0.3703658428165007
L14_H02_attention_entropy_last,-0.027884795422640062,0.027150985016781166,-0.05503578043942123,0.05503578043942123,0.205522494065284,0.24717449370326258,0.4371666073968705
L15_H09_attention_sink_mass,0.02683253282000926,-0.026126413535272276,0.05295894635528153,0.05295894635528153,0.1817324017990638,0.1910466098865283,0.5922052809388336
L17_H02_last_to_subject_mass,0.02676096968134968,-0.02605673363710362,0.0528177033184533,0.0528177033184533,0.18337110725895803,0.1814677017432271,0.5898715327169275
L16_H03_last_to_tail_mass,-0.0265761183995736,0.02587674686274259,-0.05245286526231619,0.05245286526231619,0.19141151330486833,0.1958637597253318,0.4215082681365576
L15_H06_attention_sink_mass,0.026446062312969025,-0.025750113304733008,0.05219617561770203,0.05219617561770203,0.17060828286506816,0.16470129879566953,0.6084970661450924
L14_H06_attention_entropy_last,-0.02559868724770524,0.024925037583291038,-0.05052372483099628,0.05052372483099628,0.30943011582085994,0.3504318590970357,0.47260624110953053
L18_H02_attention_entropy_last,0.025558900522224058,-0.024886297876902493,0.05044519839912655,0.05044519839912655,0.29169122715336443,0.26794987775668344,0.5728573968705547
L13_H11_last_to_subject_mass,0.02521396989604394,-0.02455044437246369,0.049764414268507626,0.049764414268507626,0.21061396296421991,0.18377318225695843,0.5631001066856329
L13_H04_attention_entropy_last,-0.02514746615490681,0.024485690729777788,-0.0496331568846846,0.0496331568846846,0.1830848675158795,0.1716630425907639,0.4233308143669986
L20_H00_last_to_subject_mass,0.023891543217412332,-0.023262818395901358,0.04715436161331369,0.04715436161331369,0.25663733123833676,0.2711625370089368,0.5489309210526316
L15_H03_attention_entropy_last,-0.02385547602091077,0.023227700336150223,-0.047083176357060996,0.047083176357060996,0.1517235192260758,0.18251034013871079,0.43193234352773824
L18_H04_attention_entropy_last,0.023851234632565322,-0.023223570563287436,0.04707480519585276,0.04707480519585276,0.3529504461652164,0.3412361599473151,0.5388846906116643
L18_H02_last_to_subject_mass,-0.023670339101366268,0.023047435440804037,-0.046717774542170305,0.046717774542170305,0.18845114913574113,0.1796173830747884,0.41639624822190613
L17_H02_attention_sink_mass,0.023596447194164503,-0.022975488057475676,0.046571935251640176,0.046571935251640176,0.1589136851385052,0.15416627130735644,0.5911495376955903
L18_H02_attention_sink_mass,-0.02336397942550297,0.022749137861673884,-0.046113117287176854,0.046113117287176854,0.18234596016939272,0.1777167811027531,0.4127067034139403
L15_H09_max_attention_last,0.022794298013317026,-0.022194448065598213,0.04498874607891524,0.04498874607891524,0.1695435322636206,0.17718920718904288,0.5833814900426743
L13_H11_max_attention_last,0.021853842274396126,-0.02127874116191204,0.043132583436308165,0.043132583436308165,0.18365767414980064,0.16960093613380675,0.5692123044096729
L13_H11_top3_attention_mass_last,0.021817702702086217,-0.021243552630978713,0.04306125533306493,0.04306125533306493,0.1367441861680877,0.13356148829193815,0.5940389402560455
L16_H03_last_to_subject_mass,0.021815759928881972,-0.02124166098338508,0.04305742091226705,0.04305742091226705,0.18376272522869677,0.16492391956880076,0.5696123755334281
L16_H03_max_attention_last,0.021732445618844912,-0.021160539155191074,0.04289298477403598,0.04289298477403598,0.16701069725562157,0.1452747490262695,0.571534939544808
L13_H11_last_to_tail_mass,-0.02144635803364632,0.020881980190655413,-0.04232833822430174,0.04232833822430174,0.2444169585335361,0.2296949202783932,0.4470239153627311
L20_H05_attention_entropy_last,-0.021123744369379662,0.020567856359659232,-0.041691600729038894,0.041691600729038894,0.3740797364313513,0.36884054108639686,0.4648937588904694
L15_H08_attention_entropy_last,-0.021107649795346992,0.020552185327048285,-0.04165983512239528,0.04165983512239528,0.28615156535792163,0.2816806568590112,0.4518358819345661
L18_H02_last_to_tail_mass,0.02099530351002344,-0.020442795522917695,0.041438099032941135,0.041438099032941135,0.1759348449141394,0.17205699369924646,0.5794363442389758
L17_H05_top3_attention_mass_last,-0.02097741599598003,0.02042537873292796,-0.04140279472890799,0.04140279472890799,0.10052843144442396,0.11290875248302483,0.39399226529160736
L16_H06_max_attention_last,-0.020690564337762323,0.020146075802558127,-0.04083664014032045,0.04083664014032045,0.14279949595200855,0.14877000035158142,0.41596283783783783
L20_H01_attention_sink_mass,-0.020372126378240773,0.0198360177893399,-0.04020814416758067,0.04020814416758067,0.09048208477248533,0.08637904913256557,0.367787606685633
L13_H06_attention_entropy_last,0.02027778282065548,-0.019744156956953574,0.04002193977760905,0.04002193977760905,0.23139232892389772,0.2338336101879184,0.5506534495021336
L15_H00_attention_entropy_last,-0.020208351969736207,0.019676553233690715,-0.039884905203426926,0.039884905203426926,0.30143097030534105,0.2970292265297237,0.4589927098150782
L16_H05_last_to_tail_mass,-0.019975959047867586,0.019450275915028892,-0.039426234962896475,0.039426234962896475,0.1558766246485537,0.1726932645794511,0.4321434921763869
L13_H07_attention_entropy_last,-0.019788453643897475,0.01926770486379536,-0.03905615850769284,0.03905615850769284,0.30711810950076546,0.2984400394362291,0.45593661095305826
L20_H07_last_to_subject_mass,0.01950728916281754,-0.018993939448006668,0.03850122861082421,0.03850122861082421,0.11959119261841489,0.13675314998882626,0.584137179943101
L19_H05_attention_sink_mass,-0.019358370319752755,0.018848939521864595,-0.038207309841617354,0.038207309841617354,0.12301046077261893,0.14740098421863226,0.4225306721194879
L17_H00_relation_to_subject_mass,-0.019357951723995206,0.018848531941784596,-0.038206483665779806,0.038206483665779806,0.3993918946153202,0.3914310098555986,0.4620599217638691
L14_H09_attention_entropy_last,0.019327191127134453,-0.018818580834314935,0.03814577196144939,0.03814577196144939,0.18991906925007926,0.16300262858386758,0.5544207859174964
L15_H06_max_attention_last,-0.01896304494857068,0.01846401744992411,-0.03742706239849479,0.03742706239849479,0.14307124507805016,0.15742150203898828,0.43017647581792323
L18_H02_max_attention_last,-0.018502997841312575,0.018016076845488477,-0.03651907468680105,0.03651907468680105,0.1492631894832135,0.13740876254550705,0.4153960704125178
L20_H09_max_attention_last,-0.018500048669018276,0.01801320528299147,-0.036513253952009744,0.036513253952009744,0.14314629907134901,0.1633721757954711,0.43887802275960175
L13_H01_relation_to_subject_mass,-0.018145974761080992,0.017668449109473638,-0.035814423870554626,0.035814423870554626,0.4445646493494898,0.42647339323990857,0.5051675853485065
