id,method,feature_dim,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_auroc_mean,test_auroc_std,note
A0,"Hidden-only (L17 last, LR)",1536,0.8082408874801902,0.0,0.8081464450391366,1.3597399555105182e-16,0.8897004159215576,0.0,Full dataset baseline
A0s,"Hidden-only (subset, LR)",1536,0.8666666666666667,0.0,0.8660714285714285,1.3597399555105182e-16,0.9184472934472935,0.0,"Subset sizes: train=600, val=150, test=150"
A1,Attn-score only (raw),1536,0.7666666666666667,0.0,0.7654050672505474,1.3597399555105182e-16,0.8288817663817664,0.0,
A2,Attn-score only (debiased),1536,0.7733333333333333,0.0,0.7713414634146342,0.0,0.8285256410256411,0.0,Length-residualized
A3,Attn-score (top-16 heads),256,0.7600000000000001,1.3597399555105182e-16,0.7564935064935066,0.0,0.7934472934472935,0.0,256 features
A4,Attn-output only,40,0.68,0.0,0.68,0.0,0.7492877492877493,0.0,
A5,Hidden + debiased attn-score,3072,0.8733333333333334,1.3597399555105182e-16,0.8728756858022213,0.0,0.9301994301994302,0.0,
A6,Hidden + top-16 head attn,1792,0.8866666666666667,0.0,0.8865406006674083,0.0,0.933048433048433,0.0,
A7,Hidden + attn-output,1576,0.8466666666666667,0.0,0.8463320119371075,0.0,0.9253917378917379,1.3597399555105182e-16,
A8,Hidden + top-head + output,1832,0.88,0.0,0.8798076923076922,1.3597399555105182e-16,0.9403490028490028,0.0,Full fusion
A9,Gated Fusion (tau=0.05),-,0.8666666666666667,0.0,0.8660714285714286,0.0,0.9193376068376069,0.0,Samples changed: 3
